Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
276	13772	Schultz, Dalton	HOU	TE	140.05	28	357		528		
279	11150	Smith, Geno	NYJ	QB	142.28	30	371		254		
280	16178	Mitchell, Keaton	LAC	RB	143.37	28	332		441		
282	15749	Pacheco, Isiah	DET	RB	144.15	27	377		527		
286	11222	Allen, Keenan	IND	WR	145.33	26	491		492		
288	16080	Shaheed, Rashid	SEA	WR	145.44	24	319		484		
290	15889	Okonkwo, Chigoziem	WAS	TE	146.12	31	389		426		
295	16269	Strange, Brenton	JAC	TE	147.18	25	292		477		
297	17171	Dike, Chimere	TEN	WR	148.20	4	308		123		
299	16287	Tucker, Tre	LVR	WR	149.43	7	380		459		
303	13132	Kamara, Alvin	NOS	RB	151.07	31	393		478		
305	15797	Dulcich, Greg	MIA	TE	151.09	28	425		241		
307	16164	Bigsby, Tank	PHI	RB	151.52	27	372		473		
310	17047	Sampson, Dylan	CLE	RB	153.30	28	331		339		
311	17074	Hunter, Travis	JAC	WR	153.82	24	320		317		
315	16628	McMillan, Jalen	TBB	WR	155.00	16	351		394		
316	16195	Wicks, Dontayvion	PHI	WR	155.13	21	392		290		
317	17107	Ferguson, Terrance	LAR	TE	155.36	36	407		289		
319	13113	Watson, Deshaun	CLE	QB	155.74	23	387		198		
322	16596	Allen, Braelon	NYJ	RB	156.34	27	399		344		
326	17099	Gadsden, Oronde	LAC	TE	156.61	51	371		278		
329	13164	Kupp, Cooper	SEA	WR	157.25	17	388		388		
331	16193	Boutte, Kayshon	HOU	WR	158.49	17	387		272		
332	15786	Nailor, Jalen	LVR	WR	158.76	20	395		258		
334	10700	Cousins, Kirk	LVR	QB	159.29	41	396		210		
336	14778	Tagovailoa, Tua	ATL	QB	159.81	24	341		171		
337	16603	Davis, Ray	BUF	RB	160.39	34	341		350		
339	16201	Hutchinson, Xavier	HOU	WR	161.08	2	521		216		
340	16757	Vidal, Kimani	LAC	RB	161.69	12	410		318		
342	17031	Sanders, Shedeur	CLE	QB	161.93	64	283		108		
343	16583	Penix Jr., Michael	ATL	QB	162.15	35	301		176		
344	15716	Robinson, Brian	ATL	RB	162.27	43	541		364		
345	16723	Barner, AJ	SEA	TE	162.94	12	361		260		
351	13146	Conner, James	ARI	RB	164.63	32	387		252		
352	17105	Helm, Gunnar	TEN	TE	164.83	30	376		124		
358	14860	Jennings, Jauan	MIN	WR	166.21	38	464		280		
359	17069	Blue, Jaydon	FA	RB	166.79	19	393		197		
361	17072	Harris, Tre	LAC	WR	167.15	26	391		187		
362	15331	Freiermuth, Pat	PIT	TE	167.43	40	465		196		
363	15254	Harris, Najee	NYG	RB	167.64	22	549		228		
364	15802	Otton, Cade	TBB	TE	167.72	28	418		179		
365	16204	Dell, Tank	HOU	WR	168.24	44	349		192		
366	17055	James, Jordan	SFO	RB	168.87	25	500		127		
367	17082	Bryant, Pat	DEN	WR	169.18	26	385		126		
368	14086	Hill, Justice	BAL	RB	169.48	21	649		233		
369	16626	Mitchell, Adonai	NYJ	WR	169.65	38	436		203		
371	16778	Flournoy, Ryan	DAL	WR	169.86	20	386		227		
374	13192	Njoku, David	LAC	TE	171.02	58	373		152		
376	15738	Davis, Malik	DAL	RB	173.16	31	659		134		
377	14122	Slayton, Darius	NYG	WR	173.50	44	587		166		
379	17048	Johnson, Kaleb	GBP	RB	174.66	28	481		77		
382	16036	Tonges, Jake	SFO	TE	178.76	16	426		79		
383	16619	Franklin, Troy	DEN	WR	178.95	30	465		167		
384	16617	Coleman, Keon	BUF	WR	179.25	54	532		109		
385	16342	Douglas, Demario	NEP	WR	179.27	36	409		73		
386	15293	Bateman, Rashod	BAL	WR	180.52	39	419		124		
387	13133	Perine, Samaje	CIN	RB	181.89	43	629		115		
388	17157	TeSlaa, Isaac	DET	WR	182.20	35	349		101		
389	13629	Ridley, Calvin	TEN	WR	182.98	40	559		125		
391	14080	Singletary, Devin	NYG	RB	184.83	44	495		78		
392	17080	Noel, Jaylin	HOU	WR	185.82	95	404		84		
393	16610	Wright, Jaylen	MIA	RB	186.08	15	464		127		
394	13189	Engram, Evan	DEN	TE	189.41	71	399		93		
395	16166	Tucker, Sean	TBB	RB	190.33	49	389		93		
398	13672	Gesicki, Mike	CIN	TE	193.94	48	480		77		
400	16788	Vele, Devaughn	NOS	WR	200.88	59	506		72		
