"Rank","Player","Team","Bye","POS","AVG"
"129","Dalton Kincaid","BUF","7","TE13","129.0"
"130","Malik Willis","MIA","6","QB21","130.0"
"131","Isaiah Likely","NYG","8","TE14","131.0"
"132","Jalen Coker","CAR","5","WR55","132.0"
"133","Tyrone Tracy Jr.","NYG","8","RB43","133.0"
"134","Stefon Diggs","","","WR56","134.0"
"135","Keaton Mitchell","LAC","7","RB44","135.0"
"136","Dallas Goedert","PHI","10","TE15","136.0"
"137","Cam Ward","TEN","9","QB22","138.0"
"138","Rashid Shaheed","SEA","11","WR57","139.0"
"139","Omar Cooper Jr.","NYJ","13","WR58","140.0"
"140","Sam Darnold","SEA","11","QB23","141.0"
"141","C.J. Stroud","HOU","8","QB24","142.0"
"142","Woody Marks","HOU","8","RB45","143.0"
"143","Oronde Gadsden II","LAC","7","TE16","144.0"
"144","Daniel Jones","IND","13","QB25","145.0"
"145","Jalen McMillan","TB","10","WR59","146.0"
"146","Chig Okonkwo","WAS","7","TE17","147.0"
"147","Jauan Jennings","MIN","6","WR60","148.0"
"148","Isiah Pacheco","DET","6","RB46","149.0"
"149","Hunter Henry","NE","11","TE18","150.0"
"150","Jalen Nailor","LV","13","WR61","151.0"
"151","Jonah Coleman","DEN","10","RB47","152.0"
"152","Brenton Strange","JAC","7","TE19","153.0"
"153","Tre Tucker","LV","13","WR62","154.0"
"154","Bryce Young","CAR","5","QB26","155.0"
"155","Kenyon Sadiq","NYJ","13","TE20","156.0"
"156","Juwan Johnson","NO","8","TE21","157.0"
"157","Denzel Boston","CLE","11","WR63","158.0"
"158","Tyler Allgeier","ARI","14","RB48","159.0"
"159","Zach Charbonnet","SEA","11","RB49","160.0"
"160","Tyjae Spears","TEN","9","RB50","161.0"
"161","Ryan Flournoy","DAL","14","WR64","162.0"
"162","Deebo Samuel Sr.","","","WR65","163.0"
"163","Antonio Williams","WAS","7","WR66","164.0"
"164","T.J. Hockenson","MIN","6","TE22","165.0"
"165","Brian Robinson Jr.","ATL","11","RB51","166.0"
"166","Tre' Harris","LAC","7","WR67","167.0"
"167","De'Zhaun Stribling","SF","8","WR68","168.0"
"168","Dalton Schultz","HOU","8","TE23","169.0"
"169","Tank Bigsby","PHI","10","RB52","170.0"
"170","Fernando Mendoza","LV","13","QB27","171.0"
"171","Isaac TeSlaa","DET","6","WR69","172.0"
"172","Dylan Sampson","CLE","11","RB53","173.0"
"173","Sean Tucker","TB","10","RB54","174.0"
"174","AJ Barner","SEA","11","TE24","175.0"
"175","Aaron Rodgers","PIT","9","QB28","176.0"
"176","Zachariah Branch","ATL","11","WR70","177.0"
"177","Gunnar Helm","TEN","9","TE25","178.0"
"178","Geno Smith","NYJ","13","QB29","179.0"
"179","Jerry Jeudy","CLE","11","WR71","180.0"
"180","Germie Bernard","PIT","9","WR72","181.0"
"181","Adonai Mitchell","NYJ","13","WR73","182.0"
"182","Alvin Kamara","NO","8","RB55","183.0"
"183","Calvin Ridley","TEN","9","WR74","184.0"
"184","Greg Dulcich","MIA","6","TE26","185.0"
"185","Cade Otton","TB","10","TE27","186.0"
"186","Nicholas Singleton","TEN","9","RB56","187.0"
"187","Tank Dell","HOU","8","WR75","188.0"
"188","Brandon Aiyuk","SF","8","WR76","189.0"
"189","Malik Washington","MIA","6","WR77","190.0"
"190","Emmett Johnson","KC","5","RB57","191.0"
"191","Ted Hurst III","TB","10","WR78","192.0"
"192","Pat Freiermuth","PIT","9","TE28","193.0"
"193","Dontayvion Wicks","PHI","10","WR79","194.0"
